#Radio detections and upper-limits of GRB 170817A/AT2017gfo/GW170817
#Units: d,str,GHz,GHz,mJy,mJy,bool,str,str
# index,dT,flux,flux_err_high,flux_err_low,freq,bandwidth,upper_limit,facility,reference,who_added_this
54,72.2,0.0546,0.0055,0.0055,4.5,0.5,0,VLA,arXiv:1711.11573,Om Sharan Salafia
55,75.49,0.0449,0.0054,0.0054,7.25,4.0,0,ATCA,arXiv:1711.11573,Om Sharan Salafia
56,92.4,0.0396,0.007,0.007,7.25,4.0,0,ATCA,arXiv:1711.11573,Om Sharan Salafia
57,93.07,0.098,0.014,0.014,1.6,1.0,0,VLA,arXiv:1711.11573,Om Sharan Salafia
58,93.13,0.07,0.0057,0.0057,3.0,2.0,0,VLA,arXiv:1711.11573,Om Sharan Salafia
59,93.19,0.0186,0.0031,0.0031,15.0,4.0,0,VLA,arXiv:1711.11573,Om Sharan Salafia
60,107.36,0.0665,0.0056,0.0056,7.25,4.0,0,ATCA,arXiv:1711.11573,Om Sharan Salafia
61,102.5,0.101,0.02,0.02,0.61,0.05,0,GMRT,arXiv:1803.02768,Om Sharan Salafia
62,127.0,0.175,0.039,0.039,0.61,0.05,0,GMRT,arXiv:1803.02768,Om Sharan Salafia
63,66.6,0.106,0.019,0.019,1.39,0.4,0,GMRT,arXiv:1803.02768,Om Sharan Salafia
64,77.6,0.105,0.017,0.017,1.39,0.4,0,GMRT,arXiv:1803.02768,Om Sharan Salafia
65,106.6,0.109,0.014,0.014,1.39,0.4,0,GMRT,arXiv:1803.02768,Om Sharan Salafia
66,124.5,0.117,0.019,0.019,1.39,0.4,0,GMRT,arXiv:1803.02768,Om Sharan Salafia
67,151.5,0.11,0.014,0.014,1.39,0.4,0,GMRT,arXiv:1803.02768,Om Sharan Salafia
68,125.3,0.082,0.0093,0.0093,5.5,2.048,0,ATCA,https://doi.org/10.3847/2041-8213/aac105,Om Sharan Salafia
69,125.3,0.0637,0.0082,0.0082,9.0,2.048,0,ATCA,https://doi.org/10.3847/2041-8213/aac105,Om Sharan Salafia
70,149.26,0.0989,0.0085,0.0085,5.5,2.048,0,ATCA,https://doi.org/10.3847/2041-8213/aac105,Om Sharan Salafia
71,149.26,0.0527,0.0065,0.0065,9.0,2.048,0,ATCA,https://doi.org/10.3847/2041-8213/aac105,Om Sharan Salafia
72,181.64,0.0896,0.0133,0.0133,5.5,2.048,0,ATCA,https://doi.org/10.3847/2041-8213/aac105,Om Sharan Salafia
73,181.64,0.057,0.0109,0.0109,9.0,2.048,0,ATCA,https://doi.org/10.3847/2041-8213/aac105,Om Sharan Salafia
74,196.79,0.091,0.0091,0.0091,2.5,1.0,0,VLA,https://doi.org/10.3847/2041-8213/aac105,Om Sharan Salafia
75,196.79,0.0669,0.0061,0.0061,3.5,1.0,0,VLA,https://doi.org/10.3847/2041-8213/aac105,Om Sharan Salafia
76,80.1,0.0374,0.0042,0.0042,6.0,4.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
77,112.04,0.0697,0.0075,0.0075,5.0,2.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
78,112.04,0.0577,0.0047,0.0047,7.0,2.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
79,115.05,0.0823,0.0207,0.0207,2.6,1.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
80,115.05,0.0958,0.011,0.011,3.4,1.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
81,115.05,0.0564,0.0104,0.0104,9.0,2.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
82,115.05,0.0525,0.0101,0.0101,11.0,2.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
83,115.05,0.0423,0.0057,0.0057,13.0,2.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
84,115.05,0.0452,0.007,0.007,15.0,2.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
85,115.05,0.044,0.0079,0.0079,17.0,2.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
86,162.89,0.1045,0.0223,0.0223,2.6,1.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
87,162.89,0.0912,0.0174,0.0174,3.4,1.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
88,162.89,0.0808,0.0125,0.0125,5.0,2.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
89,162.89,0.0611,0.0073,0.0073,7.0,2.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
90,162.89,0.055,0.0099,0.0099,9.0,2.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
91,162.89,0.0344,0.01,0.01,11.0,2.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
92,162.89,0.0417,0.0063,0.0063,13.0,2.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
93,162.89,0.0389,0.0072,0.0072,15.0,2.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
94,162.89,0.0435,0.0077,0.0077,17.0,2.0,0,VLA,arXiv:1801.03531,Om Sharan Salafia
95,216.91,0.068,0.021,0.021,3.0,2.0,0,VLA,arXiv:1805.02870,Om Sharan Salafia
96,216.88,0.039,0.009,0.009,6.0,4.0,0,VLA,arXiv:1805.02870,Om Sharan Salafia
97,216.85,0.028,0.007,0.007,10.0,4.0,0,VLA,arXiv:1805.02870,Om Sharan Salafia
98,216.8,0.021,0.005,0.005,15.0,6.0,0,VLA,arXiv:1805.02870,Om Sharan Salafia
99,256.76,0.055,0.012,0.012,3.0,2.0,0,VLA,arXiv:1805.02870,Om Sharan Salafia
101,207.4,0.06,0.0,0.0,5.0,1.0,1,eMERLIN,arXiv:1808.00469,Om Sharan Salafia
102,196.0,0.076,0.005,0.005,3.0,0.5,0,VLA,arXiv:1806.09693,Om Sharan Salafia
103,220.0,0.064,0.004,0.004,3.0,0.5,0,VLA,arXiv:1806.09693,Om Sharan Salafia
104,256.0,0.055,0.011,0.011,3.0,0.5,0,VLA,arXiv:1806.09693,Om Sharan Salafia
105,267.0,0.041,0.004,0.004,3.0,0.5,0,VLA,arXiv:1806.09693,Om Sharan Salafia
106,294.0,0.031,0.004,0.004,3.0,0.5,0,VLA,arXiv:1806.09693,Om Sharan Salafia
107,267.0,0.03,0.007,0.007,5.5,0.5,0,ATCA,arXiv:1808.06617,Om Sharan Salafia
108,267.0,0.02,0.006,0.006,9.0,0.5,0,ATCA,arXiv:1808.06617,Om Sharan Salafia
109,267.0,0.03,0.006,0.006,7.25,0.5,0,ATCA,arXiv:1808.06617,Om Sharan Salafia
110,298.0,0.025,0.007,0.007,5.5,0.5,0,ATCA,arXiv:1808.06617,Om Sharan Salafia
111,298.0,0.029,0.006,0.006,9.0,0.5,0,ATCA,arXiv:1808.06617,Om Sharan Salafia
112,298.0,0.028,0.006,0.006,7.25,0.5,0,ATCA,arXiv:1808.06617,Om Sharan Salafia
113,320.0,0.027,0.008,0.008,5.5,0.5,0,ATCA,arXiv:1808.06617,Om Sharan Salafia
114,320.0,0.022,0.006,0.006,9.0,0.5,0,ATCA,arXiv:1808.06617,Om Sharan Salafia
115,320.0,0.022,0.005,0.005,7.25,0.5,0,ATCA,arXiv:1808.06617,Om Sharan Salafia
116,359.0,0.026,0.0,0.0,5.5,0.5,1,ATCA,arXiv:1808.06617,Om Sharan Salafia
117,359.0,0.02,0.0,0.0,9.0,0.5,1,ATCA,arXiv:1808.06617,Om Sharan Salafia
118,359.0,0.018,0.0,0.0,7.25,0.5,1,ATCA,arXiv:1808.06617,Om Sharan Salafia
